epoch,train_loss,val_loss
1,0.451630,0.385803
2,0.414624,0.352963
3,0.383506,0.324885
4,0.350217,0.300591
5,0.323448,0.280391
6,0.298902,0.256644
7,0.274804,0.237342
8,0.253383,0.218745
9,0.232569,0.205594
10,0.215343,0.190898
11,0.199518,0.177809
12,0.185618,0.165295
13,0.172544,0.157239
14,0.161655,0.147392
15,0.151664,0.138443
16,0.142938,0.136338
17,0.135693,0.125690
18,0.129396,0.121985
19,0.124500,0.115283
20,0.119677,0.112233
21,0.115434,0.108929
22,0.111957,0.109099
23,0.109634,0.101095
24,0.106605,0.102517
25,0.103748,0.098404
26,0.101665,0.096335
27,0.100506,0.093495
28,0.097655,0.094785
29,0.096266,0.094731
30,0.094241,0.090014
31,0.092927,0.087326
32,0.091541,0.086482
33,0.090187,0.083830
34,0.088348,0.087671
35,0.087556,0.081507
36,0.085491,0.082425
37,0.084144,0.082253
38,0.082588,0.078666
39,0.081213,0.077182
40,0.080085,0.074009
41,0.079639,0.078990
42,0.076943,0.072670
43,0.075927,0.070842
44,0.074806,0.074722
45,0.073672,0.071033
46,0.072461,0.067393
47,0.072328,0.073859
48,0.069579,0.065260
49,0.068004,0.063608
50,0.066798,0.065797
51,0.065785,0.063009
52,0.064222,0.060740
53,0.062960,0.060595
54,0.061686,0.057308
55,0.061167,0.057194
56,0.059095,0.059127
57,0.058848,0.054557
58,0.056503,0.055570
59,0.055431,0.051915
60,0.054528,0.053535
61,0.053916,0.052665
62,0.052324,0.050013
63,0.051372,0.047520
64,0.050671,0.049812
65,0.048783,0.046927
66,0.047733,0.046999
67,0.046940,0.044856
68,0.045923,0.043528
69,0.044922,0.041933
70,0.044076,0.042511
71,0.043124,0.041873
72,0.042531,0.039455
73,0.041253,0.039712
74,0.040106,0.039046
75,0.039373,0.040179
76,0.039992,0.036076
77,0.038250,0.036079
78,0.036837,0.038580
79,0.035896,0.033888
80,0.035572,0.035122
81,0.034841,0.037427
82,0.034357,0.032409
83,0.033452,0.031406
84,0.032514,0.031766
85,0.032052,0.034542
86,0.031860,0.030396
87,0.030314,0.029223
88,0.030815,0.029301
89,0.029530,0.031179
90,0.028578,0.028613
91,0.027780,0.027694
92,0.027516,0.029543
93,0.027139,0.026795
94,0.026511,0.026340
95,0.025899,0.025170
96,0.025219,0.024890
97,0.024448,0.028239
98,0.024784,0.023369
99,0.023694,0.024140
100,0.022955,0.022863
101,0.022433,0.022360
102,0.022611,0.022308
103,0.021575,0.021319
104,0.021309,0.021165
105,0.020773,0.021714
106,0.020442,0.021815
107,0.019989,0.019963
108,0.019530,0.020183
109,0.019576,0.019306
110,0.018850,0.019494
111,0.018394,0.018340
112,0.017941,0.018954
113,0.018084,0.019983
114,0.017633,0.017349
115,0.017435,0.017280
116,0.016801,0.016976
117,0.016546,0.017168
118,0.016232,0.017322
119,0.015649,0.016468
120,0.015500,0.016018
121,0.015497,0.015840
122,0.015131,0.016887
123,0.014731,0.014952
124,0.014492,0.015096
125,0.014173,0.014623
126,0.013813,0.014712
127,0.013537,0.013570
128,0.013556,0.014028
129,0.013410,0.013466
130,0.012924,0.015736
131,0.012753,0.012905
132,0.012684,0.013417
133,0.012474,0.013569
134,0.011992,0.012187
135,0.011744,0.012631
136,0.011679,0.011769
137,0.011411,0.014346
138,0.011450,0.012224
139,0.010985,0.011364
140,0.010911,0.011214
141,0.010737,0.011048
142,0.010488,0.010728
143,0.010520,0.010917
144,0.010313,0.010690
145,0.009941,0.010352
146,0.010069,0.010175
147,0.009963,0.009995
148,0.009626,0.009913
149,0.009347,0.009776
150,0.009442,0.011704
151,0.009583,0.009557
152,0.008837,0.009147
153,0.008823,0.010221
154,0.008572,0.008869
155,0.008718,0.009438
156,0.008299,0.009169
157,0.008206,0.009384
158,0.008205,0.008553
159,0.007951,0.008711
160,0.007823,0.008274
161,0.007596,0.008145
162,0.007595,0.008210
163,0.007479,0.008717
164,0.007455,0.007670
165,0.007444,0.007854
166,0.007134,0.007479
167,0.007110,0.008027
168,0.006870,0.007310
169,0.006820,0.007556
170,0.006744,0.007629
171,0.006654,0.007087
172,0.006558,0.006941
173,0.006359,0.006900
174,0.006333,0.006856
175,0.006248,0.006786
176,0.006056,0.006587
177,0.006019,0.006913
178,0.006001,0.006804
179,0.006084,0.006661
180,0.006053,0.007014
181,0.006121,0.006678
182,0.005604,0.006899
183,0.005725,0.007006
184,0.005467,0.006110
185,0.005525,0.006019
186,0.005527,0.006208
187,0.005537,0.006137
188,0.005416,0.006360
189,0.005715,0.005819
190,0.005169,0.005614
191,0.004996,0.005612
192,0.005019,0.005613
193,0.004871,0.005947
194,0.004924,0.005904
195,0.004810,0.006097
196,0.004808,0.005424
197,0.004796,0.005531
198,0.004601,0.005777
199,0.004615,0.005115
200,0.004528,0.005033
201,0.004449,0.005292
202,0.004439,0.005054
203,0.004415,0.004890
204,0.004338,0.005139
205,0.004274,0.004827
206,0.004227,0.004788
207,0.004180,0.004718
208,0.004207,0.005171
209,0.004490,0.004742
210,0.004168,0.004969
211,0.004028,0.005049
212,0.003994,0.004834
213,0.004004,0.004533
214,0.003956,0.004540
215,0.003930,0.004452
216,0.003816,0.004584
217,0.003801,0.004437
218,0.003858,0.004521
219,0.003825,0.004448
220,0.003726,0.004342
221,0.003708,0.004357
222,0.003765,0.004657
223,0.004067,0.004299
224,0.003662,0.004335
225,0.003851,0.004296
226,0.003614,0.004221
227,0.003652,0.004235
228,0.003712,0.004418
229,0.003574,0.004284
230,0.003503,0.004116
231,0.003531,0.004267
232,0.003531,0.004116
233,0.003416,0.004047
234,0.003491,0.004330
235,0.003453,0.004067
236,0.003575,0.004299
237,0.003399,0.004020
238,0.003360,0.003988
239,0.003340,0.004049
240,0.003300,0.003934
241,0.003284,0.003907
242,0.003300,0.003943
243,0.003230,0.003986
244,0.003309,0.004055
245,0.003181,0.003808
246,0.003276,0.003887
247,0.003342,0.004448
